sentense_clean,my_ent_1,their_ent_1,my_ent_2,their_ent_2,label
” Trump repeatedly said on the campaign trail last year that it was time for European countries to stump up a fair share for an organisation he denounced as “obsolete”.,Trump,Trump,he,European,0
"In his analysis in Nature, Livio praised Churchill’s clear thinking, as well as his support for science as a tool of government policy.",Livio,Nature,Churchill,Churchill’,0
"As we continue to push the boundaries of MTV’s storytelling, the importance of providing an open door and blank canvas to creators of all kinds is a top priority,” said Michael Klein, executive vice president of original content.",Michael Klein,MTV,president,Michael Klein,0
" Younger members of the House Democratic caucus wanted to delay leadership elections to see if a strong challenger to Nancy Pelosi would emerge, and lo and behold, one has ",Democratic,House,Nancy Pelosi,Democratic,0
"If the deal is sealed, this will ease Greeces debt burden by slashing the value of the creditors debt holdings and give Papademos a boost, but only briefly.",Greeces,Greece,Papademos,Papademo,0
In announcements about the passage of the bill  which was approved by both chambers of the state legislature unanimously  Republican Assemblyman Anthony M. Bucco and Democratic state Sen. Donald Norcross both heralded it as an attack on the black market.,Anthony M. Bucco,Anthony M. Bucco,Donald Norcross,Democratic,0
The bidding for Los Angeles magazine and two other regional titles that radio syndicator Emmis Communications is auctioning off should wrap up early in the new year.,Los Angeles,Los Angele,Emmis Communications,Emmis Communication,0
"According to the independent Human Rights Commission of Pakistan, 4,612 people were killed in bombings and other violence in the country in 2015.Jamaat-ul-Ahrar, the group that claimed responsibility for the Easter Sunday bombing, has roots in the tribal region and has declared its sympathy with the Islamic State group.",Human Rights Commission,Human Rights Commission of Pakistan,2015.Jamaat-ul-Ahrar,Easter,0
"Yet Utah, where Kasich has several key endorsements, is seen as the sort of place where he can only hurt Cruz.",Kasich,Utah,Cruz,Cruz,0
"At a time when a new president (particularly one whose party also holds Congress) should be basking in the glow of a successful transition of power, Trump and his staff got off to the worst start in the modern era their Gallup approval rating of 45% is the lowest rating any president has received since polling was invented.",president,Congre,Trump,Gallup,0
"In his statements before Congress, Director Comey repeatedly assured us that the FBI investigated whether charges of obstruction of justice and intentional destruction of records were merited,” the chairmen of three House committees and a Senate committee complained last week in a letter to Attorney General Loretta Lynch.",Comey,FBI,Loretta Lynch,Loretta Lynch,0
"Musk has said Autopilot is named after the aircraft technology because “the intended implication is that a driver must remain alert, just as a pilot must remain alert.",Musk,Musk,None,Autopilot,0
Justice Department officials added that Congress has always intended that information obtained through intelligence authorities could be used in criminal prosecutions.,Justice Department,Justice Department,Congress,Congre,0
"The CDC’s move last week exasperated some environmental and public health advocates, who see the issue as an increasingly urgent one and argue that the agency should have gone forward with the summit unless told otherwise by the Trump administration.",CDC,CDC,Trump administration,Trump,0
" Donald Trump, the actual Republican candidate for president, now endorsed by his party leaders, openly said he wants to exclude someone from a government job because of his race and ethnicity. ",Donald Trump,Donald Trump,president,Republican,0
"Judge Albert Lauber of the US Tax Court rejected a variety of IRS arguments, and found that on several occasions the agency abused its discretion, or acted arbitrarily or capriciously.",Albert Lauber,discretion,the US Tax Court,.,0
he's building a new DePaul stadiumUsing our TIF funds to Transform the South Loop into the Promised Land of redevelopmentThe paint is starting to streak.,he,DePaul,DePaul,Transform,0
"Michael G. Hubbard, the speaker of the Alabama House of Representatives, whose approach to politics propelled the Republican Party to dominance in his state, was convicted Friday on 12 felony ethics charges, leaving him stripped of power and facing the possibility of decades in prison.",Michael G. Hubbard,the Alabama House of Representative,him,the Republican Party,0
"According to a market assessment produced by Deloitte to underpin the Shakespeare review, release of all datasets held by the PDG trading funds would represent a direct loss to the Exchequer on the order of 143ma year.",Deloitte,Shakespeare,Shakespeare,PDG,0
"Judge Albert Lauber of the US Tax Court rejected a variety of IRS arguments, and found that on several occasions the agency abused its discretion, or acted arbitrarily or capriciously.",Albert Lauber,discretion,the US Tax Court,.,0
" At least four congressional investigations into Hillary Clinton’s personal email use and mishandling of classified information are expected to go forward even after the former secretary of state’s election loss last week, Republican lawmakers tell Fox News.",Hillary Clinton’s,Hillary Clinton’,secretary,Republican,0
"Second, the Administration’s request recognizes the importance of maintaining strong support for public schools through longstanding State formula grant programs focused on meeting the educational needs of the nation’s most vulnerable students, including poor and minority students and students with disabilities.",Administration Administration,Administration,State,State,0
"Trump’s former national security advisor Michael Flynn was paid $11, 250 by the US arm of Russian cyber security company Kaspersky Lab, newly released documents show.",Trump,250,Michael Flynn,company,0
Baroni and Kelly were charged with conspiring to misuse Port Authority property by fraud and conspiring to deprive people of their civil rights.,Baroni,Baroni,Kelly,Port Authority,0
"While covering the New Year’s Eve celebration live in New Orleans this year, CNN’s Don Lemon took ringing in the new year literally. ",CNN,New Orlean,Don Lemon,Don Lemon,0
"On the third day of his visit to South Korea, Francis celebrated a huge open-air Mass in the center of the capital Seoul, where he denounced the growing gap between the haves and have nots, urging people in affluent societies to listen to ""the cry of the poor"" among them.",Francis,Franci,he,Seoul,0
"As he told Entertainment Weekly, the whole idea for the show came about as he started mentally docking people points for being shitty in LA traffic, and thought about what it might mean to be living in ”a video game that we don’t know we are playing.",he,Entertainment Weekly,he,LA,0
"Two Italian aid workers held hostage in Syria for almost six months have arrived back on home soil after being released, the Italian government has announced. ",Italian,hostage,Italian,arrived,0
"The A's play the Mariners this weekend and if Oakland can win at least two more games than the Red Sox, the A's will be the top seed and host the Wild Card winner.",A,Mariner,Mariners,Oakland,0
The Louvre museum in Paris has been evacuated after what the French Ministry of the Interior has called a “serious public security event” in which a number of soldier opened fire on a man with a machete who cried “Allahu Akbar”.,French,Louvre,man,the French Ministry of the Interior,0
" Even after the Iran nuclear deal was formally implemented on Saturday, debate continues, and will likely continue for some time, over whether it was worth striking or whether it was, as Israeli Prime Minister Benjamin Netanyahu deemed it, a ”historic mistake.” ",Israeli,Iran,Minister Benjamin Netanyahu,Israeli,0
"Even here in New York state, you have a voting system which makes it impossible for independents to participate in the Democratic primary, that makes it impossible for people to register on the day of the election, which many states do, which is going to result in a lower voter turnout than I would like to see.",you,New York,I,Democratic,0
"But since then, top White House officials have defended Trump’s decision, saying it represents his focus on helping protect U. S. jobs and not succumbing to greenhouse gas targets that could lead to regulations.",White House,White House,Trump,U. S.,0
"Thanks to years of Republican fearmongering and (frankly) journalistic malpractice, voters have little idea what Obamacare is.",Republican,Republican,None,Obamacare,0
"The Ensuring Patient Access and Effective Drug Enforcement Act was initiated by an group, the Healthcare Distribution Management Association, which claimed that the DEA was misusing its powers to go after pharmacists and drug distributors which made minor mistakes in their paperwork.",the Healthcare Distribution Management Association,The Ensuring Patient Access and Effective Drug Enforcement Act,DEA,the Healthcare Distribution Management Association,0
"In Battle Creek, Michigan, a town famous for making cereal, Sue Lunz is sitting with her husband, Jerry, 82, at the McDonald’s.",Sue Lunz,Jerry,Jerry,the McDonald’,0
"This time he will drive alongside Belgian rookie Stoffel Vandoorne, whose only race start so far was in Bahrain last April after Alonso was ruled out following a spectacular crash at the in Australia.",Stoffel Vandoorne,Belgian,Alonso,Bahrain,0
"Watson and Austin Renken have combined for 2,649 rushing yards and 41 touchdowns behind what Logan describes as a dominant and physical offensive line.",Watson,Austin Renken,Austin Renken,Logan,0
"Erie, Pennsylvania, is one of several U. S. cities welcoming refugees and immigrants.",Erie,Pennsylvania,Pennsylvania,U. S.,0
"* Shares to start on Friday on NYSE (Updates with IPO pricing, paragraphs 1-4)NEW YORK, Oct 22",NYSE,NYSE,None,IPO,0
"Announcing the results of the Scottish cases, Ms Sturgeon said: ""I would reiterate that the threat to the public remains low.",Sturgeon,Scottish,I,Ms Sturgeon,0
Four other Americans and an Iraqi soldier died in the attack.,Americans,American,Iraqi,Iraqi,0
"I think a lot of it has to do with ignorance that’s rooted in fear of the other,” said Nwanguma, 21, when asked about the incident Thursday.",I,’,Nwanguma,Nwanguma,0
”Clinton also said she didn’t trust Trump to lead the US military.,Clinton,Clinton,Trump,US,0
"Can the American people trust their president to defend the basic infrastructure of our democracy, or will he cave to the Russian president who wants to attack and undermine it?",president,American,he,Russian,0
"ET Feb. 14, President Trump’s national security adviser Michael Flynn resigned late Monday night amid allegations he inappropriately talked about U. S. sanctions with a Russian official, and later allegedly misled Pence about the conversations.",Trump,resigned,Michael Flynn,allegation,0
"Family members belonging to a Hamas militia soon took charge of the statue, and at some stage the Apollo appeared on Ebay, with the seller telling the buyer to come and collect the item from Gaza.",Hamas,Hama,Ebay,Apollo,0
Wisconsin Sen. Ron Johnson ( ) mistakenly called South Carolina Gov. Nikki Haley (R) an immigrant in a radio interview posted on his YouTube account Wednesday and picked up by Buzzfeed Thursday.,Ron Johnson,Nikki Haley,Nikki Haley,YouTube,0
"Russia’s intervention in support of Assad last year helped Damascus turn the tide against insurgents who had been making steady territorial advances, and gave Moscow decisive influence over diplomacy.",Russia,Assad,Assad,Damascu,0
"That account is ascribed to “four current U. S. officials,” so it seems reasonable to infer that it was derived from intelligence intercepts of Kislyak and Flynn’s conversations.",Kislyak,U. S.,Flynn,Flynn,0
"During a Halloween night speech in Cincinnati, Ohio, Hillary Clinton blasted Donald Trump as a sellout to the “gun lobby.",Hillary Clinton,Ohio,Donald Trump,Hillary Clinton,0
"No details have been given on the latest, but Trudeau said it was a very separate case from last week when former Canadian diplomat Michael Kovrig and businessman Michael Spavor were detained amid the diplomatic quarrel triggered by Mengs arrest.",Trudeau,Canadian,Michael Kovrig,Michael Spavor,0
"Please select the extension that is blocking ads. Please follow the steps below, Plagued by very public allegations of user bias, Airbnb, the polarizing, popular platform vowed to enact tougher measures against hosts who discriminate against potential guests.",Airbnb,platform,None,discriminate,0
"Held squarely responsible by the Obama administration for an environmental calamity that is already hitting Gulf Coast economies and ecosystems, London-based BP was moving ahead with undersea attempts to contain and shut off the leaking well.",Obama administration,Obama,BP,London,0
"In Iraq, says Professor Charles Tripp at London Universitys School of Oriental and African Studies, the process began in the 1990s when Saddam Hussein, the dictator toppled in 2003, started a piety campaign to solidify support for his otherwise secular regime in the face of crippling international sanctions.",Charles Tripp,Iraq,Saddam Hussein,Charles Tripp,0
"Morley has been arraigned on the assault and bomb threat charges and is due to appear next week in Ipswich District Court in Newburyport, Hayward said.",Morley,Morley,Hayward,Newburyport,0
"Mel Gibson has unloaded his Frank Lloyd house in Sherman Oaks, California, for $2. 1 million.",Mel Gibson,Mel Gibson,Frank Lloyd,California,0
"The Green Party officially nominated Jill Stein for president and human rights activist Ajamu Baraka as her running mate on Saturday, at a convention in Houston that attracted many disaffected Bernie Sanders supporters.",Jill Stein,The Green Party,Ajamu Baraka,Houston,0
In November 2015 Donald Trump proclaimed to a crowd of Iowans: “,Donald Trump,Donald Trump,Iowans,Iowan,0
"Pence has also spoken out previously in support of a “robust missile defense” system for all of Europe, plans that Russia has repeatedly railed against.",Pence,Pence,Russia,Europe,0
" Donald Trump is expected to name as his secretary of state Rex Tillerson, the chief executive of ExxonMobil, who has worked extensively around the globe and built relationships with such leaders as Russian President Vladi mir Putin, three people close to the transition team confirmed Saturday.",Donald Trump,Donald Trump,Rex Tillerson,Vladi mir Putin,0
Abe has said he hopes the shrine visit will provide an insight to the heart of Japanese culture.,Abe,Abe,he,Japanese,0
China’s leaders have been accused of delivering a calculated diplomatic snub to Barack Obama after the US president was not provided with a staircase to leave his plane during his chaotic arrival in Hangzhou before the start of the G20.,Barack Obama,Barack Obama,president,US,0
" Aetna Inc’s ( ) plan to buy smaller insurer Humana Inc ( ) for $31 billion will mean seniors will pay higher Medicare Advantage premiums, according to a new report by the think tank Center for American Progress (CAP).",Aetna Inc’s,Medicare Advantage,Humana Inc,Center for American Progre,0
"International condemnation, Pope Francis is scheduled to visit Cairo this month.",Francis,Pope Franci,Cairo,Cairo,0
"Bell, a soap opera producer, also recently struggled to answer what America's strategic interests are in Hungary.",Bell,America,America,Hungary,0
"The Wirecutter, the product recommendations site owned by The New York Times, published a guide on budget Android phones, including the $100 Moto G4 Play that comes unlocked so that it can work with foreign SIM cards.",Wirecutter,Wirecutter,The New York Times,Android,0
 President Donald Trump’s press secretary promised reporters on Monday that he would never lie after a weekend briefing in which he made statements about the crowd size for Trump’s inauguration that were debunked.,Donald Trump,Donald Trump,Trump,Trump’,0
Google’s Home would only light up in response to the commercial’s prompt and stay mum (although it will give you the first line of the Wikipedia article if you explicitly request the definition of a “Whopper burger”).,you,Google’s Home,you,Whopper,0
"On the infamous United flight, employees, following protocol, had to call security agents to remove a passenger in Chicago, due to a need to transport crew to fly out of Louisville the following day.",United,United,Chicago,Louisville,0
"Russia last year began its own airstrikes in Syria, primarily in support of Assad’s forces fighting the civil war, but also occasionally targeting the Islamic State.",Assad,Russia,the Islamic State,Syria,0
"Nearly one year since American Pharoah made history, Nyquist has embarked on a turn of his own at Churchill Downs.",Pharoah,Nyquist,Nyquist,Churchill Down,0
"Resmiye Oral, a professor at the University of Iowa, wrote an to the school’s athletic department explaining that she was concerned that the school’s mascot bird, a hawk named “Herky,” may have been traumatizing students and contributing to a culture of violence, depression, and suicide because he never appeared with a smiley facial expression. ",Resmiye Oral,Resmiye Oral,she,Herky,0
"Ford has countered Trump’s criticism, saying the company, founded by his makes more cars and trucks in the United States than any other automaker. ”",Ford,Ford,Trump,the United State,0
"Sunday, MSNBC anchor Thomas Roberts asked twice if President Donald Trump is trying to provoke a domestic terrorist attack in order to “prove himself right” about Islamic terrorism. ",Thomas Roberts,MSNBC,Donald Trump,Donald Trump,0
The EPA only issued the rule after President Obama failed to get a climate law through Congress.,EPA,EPA,President Obama,Obama,0
"Hamon, 48, a traditional leftwinger who was sacked from government by President Francois Hollande for criticizing his economic policies, coasted to a comfortable win ahead of Valls, a former Hollande loyalist in government, according to partial results.",Hamon,Francois Hollande,Francois Hollande,Vall,0
"By that time, the United States had been sending women to space for about 10 years, starting with Sally Ride’s mission in 1983.",the United States,the United State,Sally Ride’s,Sally Ride’,0
The Texas senator and his campaign had already sought to downplay the impact of a Palin endorsement of Trump on Tuesday.,Palin,Texa,Trump,Trump,0
"Rep. Keith Ellison ( ) would support a ban on the Democratic National Committee accepting donations from lobbyists, he told the Huffington Post in an interview published Wednesday.",Keith Ellison,Keith Ellison,he,the Democratic National Committee,0
" More than 13 years after an Egyptian cleric was kidnapped off the streets of Milan by CIA operatives, one former agency officer now living in Portugal faces extradition to Italy, where she was sentenced to four years in prison for the abduction.",Egyptian,CIA,she,Italy,0
"Back in August, when Republican presidential nominee Donald Trump began consulting with Roger Ailes and hired Breitbart CEO Stephen Bannon to head his campaign, it was widely seen as Trump’s first move in shifting his focus away from actually running for president and instead leveraging his name into a media empire.",Donald Trump,Republican,Roger Ailes,Stephen Bannon,0
"The White House is considering the creation of a national monument to the gay rights movement on a small piece of Greenwich Village parkland across the street from the Stonewall Inn, where a 1969 uprising helped inspire the push for equality, advocates said on Tuesday.",The White House,creation,None,1969,0
"Hadley was the GM of Marketing for Bing, and was responsible for making the brand cool again.",Hadley,Hadley,Bing,the GM of Marketing for Bing,0
"In 2004, Nassar was questioned by police from Meridian Township, near Michigan State’s main campus in East Lansing, during an investigation that did not produce criminal charges.",Nassar,Nassar,police,Meridian Township,0
"Mr. Pearlman was never prosecuted for any sex crimes, and in a 2014 jailhouse interview with Billboard magazine he denied that he had committed any.",Pearlman,Pearlman,he,Billboard,0
"Republicans unanimously supported the bill, while in the Senate, Democrats walked out in protest.",Republicans,Republican,Democrats,Democrat,0
A group of senior Republicans will meet with White House officials on Wednesday to call for a new national carbon tax to replace federal regulations as a way to combat climate change.,Republicans,Republican,White House,White House,0
"As we reported Sunday, ”The Islamic State claimed responsibility for the attack in an online statement, though NPR was not able to independently verify the claim.",The Islamic State,Islamic,NPR,NPR,0
"Though his comments in large measure reflect his intolerance for either criticism or opposition, Trump’s real object here isn’t so much to pursue a feud with his media tormentors as it is to refocus the public on the threat of Islamist terror.",Trump,Trump’,Islamist,Islamist,0
 Burger King is in trouble with Belgium’s monarchy over an advertising campaign asking Belgians to vote online to ”crown” the global giant the true ruler of the country where the U. S. brand will launch next month. ,Burger King,Belgium,Belgians,Belgian,0
"Yes, that's already covered -- but since this debate is largely political, adding this language allows the Republicans to return to their constituents as defenders of the faith, while not burdening LGBT people in any way.",Republicans,Republican,None,LGBT,0
"Another law  requiring some state agencies to deny services to adults who cannot prove their legal status  has hurt some of Colorados poorest and caused headaches for legal immigrants and U.S. citizens who have trouble producing one of the types of identification used to verify legal status, Duran said.",Colorados,Colorado,immigrants,U.S.,0
"US President Barack Obama, while seeking to trim vast military spending in response to budget pressure, has vowed to boost power in Asia where a number of nations have voiced concern at what they charge is a more assertive China.",President Barack Obama,Barack Obama,they,China,0
"For dabblers and amateurs in new age spirituality with money to spare, there are yoga retreats in New Mexico and Baja California, and The Ashram, a fitness bootcamp in the Malibu mountains once attended by Paltrow where the exercise is, by all accounts, brutal and the food is organic, home grown and served in very small portions.",The Ashram,New Mexico,Paltrow,Malibu,0
"The Obama administration is moving to block oil and gas production along a major part of Alaska’s northern coastline, setting off another energy battle with Republican lawmakers. ",Obama administration,to,Republican,",",0
The Yorkshire Post is reporting that Cox was attacked on the steps of Birstall Library.,The Yorkshire Post,The Yorkshire Post,Cox,Birstall Library,0
"Still, a mandatory distribution of some already in Europe has already caused serious frictions among many EU nations and the Commission’s proposal to amend one rule was unlikely to change that immediately.",EU,Europe,Commission,EU,0
"The head of the Senate, PMDB Senator Renan Calheiros, who appeared to be wavering in his support of Rousseff, echoed her position on impeachment after meeting with her predecessor and mentor, former President Luis Inacio Lula da Silva, who is back in Brasilia working to shore up her crumbling coalition.",Renan Calheiros,Rousseff,Rousseff,Brasilia,0
"We are all in,” Sen. Ted Cruz ( ) told a packed room of California Republicans on Saturday afternoon, vowing to stop frontrunner Donald Trump in the state on June 7.",Ted Cruz,(,Donald Trump,Republican,0
"Despite all of Silicon Valley’s efforts, China is still the a major software thief ",China,Silicon Valley’,None,China,0
"If James Carville and Paul Begala had a baby, it would be a Cruz supporter.",James Carville,Paul Begala,Paul Begala,Cruz,0
"U. S. District Judge Charles Breyer said he will issue a final decision in the matter, stemming from Volkswagen’s use of illegal software to defeat U. S. emissions testing, by Oct. 25.",Charles Breyer,U. S. District,he,Volkswagen,0
" In response to questions from BuzzFeed News, Google, Apple, and Uber clarified their positions on Donald Trump’s comments about a possible Muslim registry.",Donald Trump’s,BuzzFeed New,Muslim,Apple,0
"Ma's sister tweeted on Sina's microblog saying that Ma collapsed and died after using her charging iPhone 5 and urged users to be careful, a message that went viral on the site.",Ma,Ma,Ma,Sina,0
"Barrier Breakers 2016 is focused on pushing out positive content to Hillary supporters online to counter negative attacks and false narratives,” Correct the Record’s communications director, Elizabeth Shappell, told The Daily Beast.",Hillary,Hillary,Elizabeth Shappell,The Daily Beast,0
"George Washington University (GW) has hired a former recruiter who has been convicted of soliciting the jihad murder of “blasphemers,” marking what is believed to be the first time that an allegedly reformed Islamic extremist has been employed by a university in the United States.",George Washington University,GW,GW,Islamic,0
Hamas said on Wednesday it was searching for a prime suspect in a bomb attack last week on the convoy of Palestinian Prime Minister Rami Hamdallah in Gaza.,Palestinian,Hama,Minister Rami Hamdallah,Rami Hamdallah,0
"The US government before the election publicly blamed senior levels of the Russian government for cyberattacks designed to influence the outcome, including hacks of Democratic groups like the Democratic National Committee.",Russian,US,Democratic,the Democratic National Committee,0
"Year after year, Mike Berland found himself putting on weight, going up a pant or shirt size every 12 months, and, at his peak, he tipped the scales at 245 pounds, measuring XXL across the chest and 40 inches around the waist.",Mike Berland,Mike Berland,himself,XXL,0
"In February, investigators probing the Paris attacks found video footage of a senior Belgian nuclear official at the property of a key suspect.",Paris,Pari,Belgian,Belgian,0
"- Emerging nations would be wrong to blame their problems on Western central banks, and should focus on building up economic resilience through domestic reforms, British finance minister George Osborne said on Thursday.",British,British,minister George Osborne,George Osborne,0
But many Grubhub users are furious with Maloney’s original statement against Trump and say they’re willing to for go the convenience of the delivery ,Maloney,Grubhub,Trump,Trump,0
"Mexico and Korea have faced pressure, as has Brazil, which last week put up $60 billion to stem the reals slide.",Mexico,Mexico,Korea,Brazil,0
Were told Jackson and Dupris romance turned rocky last September when Janets album Discipline (produced by her beau) flopped and she was then released from her contract with label Island Def Jam per her request.,Jackson,Jackson,Dupris,Janet,0
Theresa May is expected to use the most important speech of her premiership to confirm that Britain will be leaving the single market while insisting that it wants to remain “the best friend” to European partners.,Theresa May,Theresa,her,European,0
"Virtually every Democrat in the House and Senate supports the bills, and Obama has called the legislation a legacy of his administration and the centerpiece of his domestic policy agenda.",Obama,House,administration,Obama,0
"Minhaj’s new special, which is also called Homecoming King, is available on Netflix starting Tuesday.",Minhaj,Minhaj’,Netflix,Netflix,0
"Currently, under United States law, any Palestinian bid to bring war crimes charges against Israel in the International Criminal Court will automatically end the $400 million in annual aid America gives to the Palestinian Authority.",Palestinian,Israel,the International Criminal Court,America,0
"The worst storm to hit Taiwan in recent times came in 2009, when Morakot killed 700 people and caused about $3 billion in damage.",Taiwan,Taiwan,None,Morakot,0
"” Kimmel also imposed a new imperative dubbed the “Maggie Smith Rule,” where a nominee cannot take home a trophy if she’s not present to accept it ",Kimmel,Kimmel,she,’,0
"Senate Democrats will attempt to filibuster the Supreme Court nomination of Judge Neil Gorsuch, Minority Leader Chuck Schumer ( ) announced on Thursday during a speech on the Senate floor.",Neil Gorsuch,Leader,Chuck Schumer,announced,0
Annan was lauded but failed to save many thousands of lives in Rwanda and BosniaThe birth of this new country would alter the aspiring diplomat,Annan,Rwanda,Rwanda,BosniaThe,0
" CONCORD, N. H. — John Kasich took second place behind Donald Trump in the New Hampshire Republican primary ",John Kasich,Donald Trump,Donald Trump,New Hampshire,0
"But when Laila called, she was told that Arlington wouldn’t accept someone suspected of a serious crime — a policy confirmed by the cemetery officials.",Laila,Laila,she,Arlington,0
" Grover Norquist, president of Americans for Tax Reform, is on the board of directors of the National Rifle Association and the Parental Rights Organization. ",Grover Norquist,Americans for Tax Reform,president,the National Rifle Association,0
"Turkey’s currency exchange rate suffered a 4. 6 percent crash versus the U. S. dollar, as international investors interpreted the failed military coup and retaliatory political purge as the end of strong growth and beginning of a period of protracted economic instability in the NATO ally.",Turkey,Turkey,U. S.,NATO,0
"One of the more curious Panama Papers stories comes from North Korea, which suffered a massive Internet outage for three hours on Wednesday, two days after the North Korea’s Daedong Credit Bank was revealed as a client of Panamanian law firm Mossack Fonseca.",Daedong Credit Bank,Panama Paper,Panamanian,Panamanian,0
"A Canadian tourist was killed after a small inflatable tour boat collided with a whale off the coast of Cabo San Lucas, Mexico, authorities said Thursday.",Canadian,after,Cabo San Lucas,Thursday,0
"Please select the extension that is blocking ads. Please follow the steps below, NEWS BRIEF Malcom Turnbull, the Australian prime minister, introduced legislation Wednesday to enable a public plebiscite on marriage in February.",Malcom Turnbull,public,minister,February,0
Their respective worlds are rocked by sexy painter Juan (Javier Bardem) and his crazy ex-wife Maria (Penlope Cruz).It's not exactly the return to form that everyone is longing for.,Juan,Juan,Javier Bardem,Maria,0
"When they return to the Capitol on April 22, they’ll almost immediately run into a hard deadline: Congress has until April 28 to pass a new budget to avert a government shutdown, or pass a “continuing resolution” to temporarily lock last year’s funding for the government in place.",they,new,they,”,0
"Stormfront founder Don Black told Politico that Trump ""has sparked an insurgency and I dont think its going to go",Don Black,Stormfront,Trump,Don Black,0
" There’s an episode of Black Mirror, a British television show that imagines life in the near future, that tells the story of a woman who reunites with her deceased lover, reincarnated thanks to the wonders of artificial intelligence.",woman,Black Mirror,her,British,0
"Chat show queen Oprah Winfrey, actress Meryl Streep and singer Elton John called on Monday for world leaders to put girls at the heart of anti-poverty efforts as a new index revealed Niger was the toughest country to be a girl.",Oprah Winfrey,Meryl Streep,Meryl Streep,Elton John,0
President Obama arrived in New York City on Sunday evening for three days that will mix politics with a farewell to the world stage at the United Nations.,President Obama,Obama,New York City,New York City,0
"McConnell also cites Joe Biden, who as a senator in 1992 indicated that Supreme Court nominees should not be considered during the “political season,” in part because they would inevitably be subjected to withering, politically motivated attacks.",McConnell,McConnell,Joe Biden,Supreme Court,0
"Mr Brown said the killing reinforced Britain's ""commitment to confront terrorism"".",Brown,Mr Brown,Britain,Britain,0
"But Wheeler’s and most personal achievement will always be the Wall, a project he started pursuing almost by chance. ",Wheeler,Wheeler’,he,Wall,0
"Hundreds of companies in the U. S. are selling unproven stem cell treatments, study says” Karen Kaplan | The Los Angeles Times, Some clinics said they used stem cells to enhance cosmetic procedures such as breast augmentation and wellness boosters that purport to improve sexual function.",Karen Kaplan,the U. S.,they,The Los Angeles Time,0
"Bin Hammam and the Fifa vice-president Jack Warner, who has also been charged, will appear before Fifa's ethics committee on Sunday where they will face long bans if the allegations made by fellow executive committee member Chuck Blazer are proved.",Bin Hammam,Fifa,Jack Warner,Chuck Blazer,0
"Yves Carcelle, chief executive of Louis Vuitton, which contributes roughly half of LVMHs operating profit, said the brand would enter the Dominican Republic, Lebanon and Poland this year and spend money on refurbishing existing shops.",Yves Carcelle,LVMH,Louis Vuitton,Lebanon,0
Ryan's moratorium did indeed lead to the passage of a bill banning the death penalty during the recent lame-duck session of the Illinois legislature.,Ryan,Ryan,Illinois,Illinoi,0
"Credit Agricoles results come a week after French rival BNP Paribas posted higher third-quarter profits, although BNP Paribas results showed some weakness in retail banking and disappointing overall revenue.",Credit Agricoles,French,French,BNP Pariba,0
"In Maradona’s time, Argentina also had strong supporting players like Claudio Caniggia, Jorge Valdano, Jorge Burruchaga and later Batistuta.",Maradona,Maradona,Claudio Caniggia,Jorge Valdano,0
"Last June, the United States Court of Appeals for the Fifth Circuit, in New Orleans, largely upheld the contested provisions of the Texas law, saying it had to accept lawmakers’ assertions about the health benefits of abortion restrictions.",the United States Court of Appeals,the United States Court of Appeal,the Fifth Circuit,Texa,0
We still do not have answers about how and why the IRS tried to deceive Congress about these missing e-mails.,IRS,IRS,Congress,Congre,0
Brussels mayor says at least 20 people died in subway attack near EU headquarters. ,mayor,Brussel,EU,EU,0
"Donald Trump was the 45th US president when the Electoral College met Monday, despite having lost the popular vote to his Democratic challenger, Hillary Clinton, by more than 2. 9 million votes.",Donald Trump,by,Hillary Clinton,9 million,0
 North Korean leader Kim Jong Un supervised a successful test of a new engine for an intercontinental ballistic missile (ICBM) ,North Korean,North Korean,Kim Jong Un,ICBM,0
"On Monday’s broadcast of MSNBC’s “Morning Joe,” Mika Brzezinski argued that Democratic presidential nominee former Secretary of State set up her private email server for a “ reason”",Mika Brzezinski,MSNBC,Secretary,State,0
"A Russian naval reconnaissance warship has collided with a boat near Turkey’s Black Sea coast, prompting an evacuation.",Russian,Russian,Turkey,Black Sea,0
"Supporters and members of the Writers Guild of America picket outside the News Corp building in New York, December 4, 2007.",the Writers Guild of America,News Corp,News Corp,New York,0
"Dabiq, the magazine of ISIS, has also just published a photo of parts of a homemade bomb that they claim was used in the atrocious terrorist attack on the Russian passenger plane in the Sinai Peninsula, which killed over 220 people.",they,ISIS,Russian,Russian,0
Democrats and administration officials are urging the Congress to grant nearly $1. 9 billion in emergency funds to combat the spread of Zika.,Democrats,Democrat,administration,Zika,0
"Coming less than a week after the GOP’s quest to repeal the law came to a crashing halt, the Price hearing offered an early window into whether the Trump administration will try to undermine the law administratively after failing to unwind it legislatively. ",Price,Price,administration,Trump,0
"George Washington, the first president, was trembling as he gave his inaugural address, and his immediate successors John Adams and Thomas Jefferson were respectively terrified of having a panic attack and criticised as “ ”.",George Washington,George Washington,John Adams,Thomas Jefferson,0
"I think was when he started saying ban all Muslims,” said Haley.",I,Muslim,he,Haley,0
"Stringer/ReutersFor this reason, many have questioned Moroccos decision to accept nearly a billion dollars from France, and another half-billion from a handful of Gulf states, to finance a high-speed railway.",Stringer,Morocco,Moroccos,France,0
"In response, Obama actually sent a draft AUMF proposal to Congress in 2015 to try to get them to pass it, but it failed.",Obama,Obama,them,AUMF,0
